url,webpage,scanned_website
http://www.mysqltutorial.org/www.mysqltutorial.org/mysql-insert-statement.aspx,http://www.mysqltutorial.org/mysql-join/,
http://www.mysqltutorial.org/www.mysqltutorial.org/mysql-select-statement-query-data.aspx,http://www.mysqltutorial.org/mysql-join/,
http://www.mysqltutorial.org/php-insert-data-into-mysql-table/www.mysqltutorial.org/php-mysql-create-table/,http://www.mysqltutorial.org/php-insert-data-into-mysql-table/,
https://tools.ietf.org/html/rfc4122,http://www.mysqltutorial.org/mysql-uuid/,
url,webpage,scanned_website
http://www.mysqltutorial.org/www.mysqltutorial.org/mysql-insert-statement.aspx,http://www.mysqltutorial.org/mysql-join/,
http://www.mysqltutorial.org/www.mysqltutorial.org/mysql-select-statement-query-data.aspx,http://www.mysqltutorial.org/mysql-join/,
http://www.mysqltutorial.org/php-insert-data-into-mysql-table/www.mysqltutorial.org/php-mysql-create-table/,http://www.mysqltutorial.org/php-insert-data-into-mysql-table/,
url,webpage,scanned_website
http://www.mysqltutorial.org/www.mysqltutorial.org/mysql-insert-statement.aspx,http://www.mysqltutorial.org/mysql-join/,
http://www.mysqltutorial.org/www.mysqltutorial.org/mysql-select-statement-query-data.aspx,http://www.mysqltutorial.org/mysql-join/,
http://www.mysqltutorial.org/php-insert-data-into-mysql-table/www.mysqltutorial.org/php-mysql-create-table/,http://www.mysqltutorial.org/php-insert-data-into-mysql-table/,
